subject,question,type,option_a,option_b,option_c,option_d,correct_answer,s1_text,s1_ans,s2_text,s2_ans,s3_text,s3_ans,active
Bahasa Indonesia,Apa watak tokoh utama dalam cerita Angsa Bertelur Emas?,MC,Berani,Sombong,Serakah,Pembangkang,C,,,,,,,Y
Bahasa Indonesia,Peribahasa yang tepat untuk menggambarkan akhir cerita Angsa Bertelur Emas adalah...,MC,Makan buah simalakama,Ada udang di balik batu,Seperti katak dalam tempurung,Nasi sudah menjadi bubur,D,,,,,,,Y
Bahasa Indonesia,Pernyataan yang sesuai dengan cerita Angsa Bertelur Emas adalah...,MCMA,Petani mendapatkan uang dari penjualan angsa emas,Angsa pernah menghasilkan lebih dari satu telur emas sehari,Keinginan cepat kaya membuat petani menyesal,,"B,C",,,,,,,Y
Bahasa Indonesia,Tentukan tepat atau tidak tepat kosakata khusus pada teks pelangi.,TF,,,,,,Kata warna termasuk kosakata khusus,Tidak Tepat,Kata prisma termasuk kosakata khusus,Tepat,Kata optik termasuk kosakata khusus,Tepat,Y
Bahasa Indonesia,Makna kata pembiasan dalam teks pelangi adalah...,MC,Penguraian cahaya menjadi putih,Pemantulan cahaya,Perpaduan warna cahaya,Pembelokan cahaya saat melewati dua medium,D,,,,,,,Y
Bahasa Indonesia,Urutan proses pembentukan pelangi yang benar adalah...,MC,Cahaya mengenai air → pembiasan → pembiasan kedua → pemantulan → pelangi,Cahaya mengenai air → pembiasan → pemantulan → pembiasan kedua → pelangi,Pemantulan → pembiasan → pembiasan kedua → cahaya mengenai air → pelangi,Pemantulan → pembiasan → cahaya mengenai air → pembiasan kedua → pelangi,B,,,,,,,Y
Bahasa Indonesia,Pelajaran dari cerita Semut dan Merpati.,TF,,,,,,Kita harus saling menolong tanpa mengharapkan balasan,Sesuai,Kita boleh membiarkan teman kesulitan,Tidak Sesuai,Kebaikan akan dibalas dengan kebaikan,Sesuai,Y
Bahasa Indonesia,Latar tempat dalam cerita Semut dan Merpati adalah...,MCMA,Di sungai,Di rumah pemburu,Di pasar,Di atas pohon,"A,D",,,,,,,Y
Bahasa Indonesia,Alasan lubang membuat humus dibuat di bawah pohon rindang.,TF,,,,,,Udara lembap mempercepat pembusukan,Sesuai,Pohon menahan air hujan agar daun tidak basah,Tidak Sesuai,Pohon menghalangi sinar matahari langsung,Sesuai,Y
Bahasa Indonesia,Bagan yang sesuai dengan teks tentang humus adalah...,MC,Pengertian → Asal → Cara membuat → Ciri → Manfaat,Pengertian → Asal → Cara membuat → Manfaat → Ciri,Pengertian → Cara membuat → Asal → Ciri → Manfaat,Pengertian → Asal → Manfaat → Cara membuat → Ciri,A,,,,,,,Y
